neuron_id,layer,pearson_correlation
102,7,0.483422635
102,8,0.455252766
102,9,-0.319951007
102,10,-0.640497178
102,11,-0.135627602
102,12,-0.265737471
103,1,0.321934665
103,2,0.639418355
103,3,0.405038121
103,4,0.47903548
103,5,0.188552247
103,6,0.342799793
103,7,-0.062030531
103,8,0.389327829
103,9,0.646286694
103,10,0.229872615
103,11,0.436093764
103,12,0.668763548
104,1,-0.275182816
104,2,-0.561888925
104,3,0.273217711
104,4,0.336650524
104,5,0.432619483
104,6,0.088934148
104,7,0.066302985
104,8,0.519305877
104,9,0.351373518
104,10,0.395787645
104,11,0.399440346
104,12,0.637684549
105,1,-0.09551213
105,2,-0.400933974
105,3,-0.250501051
105,4,-0.193713677
105,5,-0.016572933
105,6,0.032414303
105,7,0.527415726
105,8,0.682681841
105,9,0.30818898
105,10,0.030382822
105,11,0.564306754
105,12,-0.418305134
106,1,-0.395278232
106,2,-0.354141275
106,3,0.344174625
106,4,-0.463749644
106,5,-0.092183847
106,6,-0.594481824
106,7,0.273297725
106,8,-0.399045033
106,9,-0.711317145
106,10,-0.638995716
106,11,-0.040641844
106,12,-0.61489833
107,1,-0.137136168
107,2,-0.100214797
107,3,0.259014108
107,4,0.270987938
107,5,0.567743734
107,6,0.387279396
107,7,0.626830576
107,8,0.371992912
107,9,0.32223739
107,10,0.356415755
107,11,0.638088427
107,12,-0.017214538
108,1,-0.050530025
108,2,0.321828011
108,3,0.216790662
108,4,-0.184300634
108,5,0.287901958
108,6,0.529114593
108,7,0.463797732
108,8,0.133356146
108,9,0.400905333
108,10,0.092877234
108,11,0.268521498
108,12,0.539735742
109,1,0.204623146
109,2,-0.222241883
109,3,-0.586789359
109,4,-0.327107405
109,5,-0.151329235
109,6,-0.544972877
109,7,-0.443419943
109,8,-0.598352108
109,9,-0.342003153
109,10,-0.35776578
109,11,0.633492513
109,12,0.214142911
110,1,-0.030853467
110,2,0.617467934
110,3,0.428138256
110,4,0.430080875
110,5,0.741572032
110,6,0.264249478
110,7,0.230208342
110,8,0.005210523
110,9,0.25181049
110,10,0.471044263
110,11,0.265036684
110,12,0.17932731
111,1,0.565292264
111,2,0.173690227
111,3,0.585969977
111,4,0.4192014
111,5,0.520042611
111,6,0.063050335
111,7,0.286666712
111,8,0.668590827
111,9,-0.659231506
111,10,-0.16456168
